DATA MOV.;DATA VALOR;DESCRIÇÃO;IMPORTÂNCIA;SALDO CONTABILÍSTICO
2020-08-03;2020-08-03;SP-00026322892 SECURITAS DIREC;-50,38;4.227,40
2020-08-03;2020-08-03;SP-00531446107 VODAFONE PORTUG;-70,18;4.157,22
2020-08-03;2020-08-03;TR-JOSE ANTONIO AZEVEDO UNIPES;1.500,00;5.657,22
2020-08-04;2020-08-04;COMISSÃO MANUTENÇÃO DE CONTA;-5,00;5.652,22
2020-08-04;2020-08-04;I.SELO OP.BANC.;-0,20;5.652,02
2020-08-07;2020-08-07;SP-10367661    MAFEP MATERIAL;-29,52;5.622,50
2020-08-17;2020-08-17;COMPRA   LEROY MERLIN SINTRA;-62,32;5.560,18
2020-08-18;2020-08-18;COMPRA   LEROY MERLIN SINTRA;-8,70;5.551,48
2020-08-27;2020-08-27;SP-96611566046 Servicos Munici;-17,31;5.534,17
2020-08-31;2020-08-31;PAG.ESP.  PAG-ESTADO;-362,68;5.171,49
