DATA MOV.;DATA VALOR;DESCRIÇÃO;IMPORTÂNCIA;SALDO CONTABILÍSTICO
2020-07-01;2020-07-01;SP-00026322892 SECURITAS DIREC;-50,38;3.269,04
2020-07-02;2020-07-02;COMISSÃO MANUTENÇÃO DE CONTA;-5,00;3.264,04
2020-07-02;2020-07-02;I.SELO OP.BANC.;-0,20;3.263,84
2020-07-03;2020-07-03;SP-96611566046 Servicos Munici;-13,80;3.250,04
2020-07-03;2020-07-03;COMPRA   SECURITY;-37,50;3.212,54
2020-07-06;2020-07-06;SP-00531446107 VODAFONE PORTUG;-71,83;3.140,71
2020-07-08;2020-07-08;SP-10367661    MAFEP MATERIAL;-29,52;3.111,19
2020-07-10;2020-07-10;SP-P05100001520EDP SERVICO UNI;-14,73;3.096,46
2020-07-14;2020-07-14;SP-P05100001520EDP SERVICO UNI;-203,49;2.892,97
2020-07-21;2020-07-21;TR-JOSE ANTONIO AZEVEDO UNIPES;1.500,00;4.392,97
2020-07-24;2020-07-24;COMPRA   LEROY MERLIN SINTRA;-19,97;4.373,00
2020-07-25;2020-07-25;COMPRA   MAX-MAT;-80,79;4.292,21
2020-07-27;2020-07-27;SP-96611566046 Servicos Munici;-14,43;4.277,78
